millesime,region,couleur,format,per,quantite,vin,prix_unitaire,negociant,date,vin_clean
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240724,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240724,Le Pin
2008,Bordeaux,red,75cl,12,0,Le Pin,1725.0,bordeaux_farr_vintners,20240724,Le Pin
2008,Bordeaux,red,75cl,1,6,Le Pin,1725.0,bordeaux_farr_vintners,20240724,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240724,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240724,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240724,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240724,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240724,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240724,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240724,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240724,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240725,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240725,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240725,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240725,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240725,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240725,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240725,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240725,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240725,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240725,Le Pin
2008,Bordeaux,red,75cl,12,0,Le Pin,1725.0,bordeaux_farr_vintners,20240725,Le Pin
2008,Bordeaux,red,75cl,1,6,Le Pin,1725.0,bordeaux_farr_vintners,20240725,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240726,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240726,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240726,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240726,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240726,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240726,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240726,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240726,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240726,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240726,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240727,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240727,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240727,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240727,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240727,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240727,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240727,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240727,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240727,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240727,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240727,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240727,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240728,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240728,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240728,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240728,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240728,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240728,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240728,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240728,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240728,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240728,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240728,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240728,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240729,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240729,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240729,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240729,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240729,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240729,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240729,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240729,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240729,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240729,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240729,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240729,Le Pin
2010,Bordeaux,red,75cl,3,1,Le Pin,3500.0,brunswick,20240729,Le Pin
2012,Bordeaux,red,75cl,3,3,Le Pin,1983.33,brunswick,20240729,Le Pin
2012,Bordeaux,red,75cl,6,1,Le Pin,1983.33,brunswick,20240729,Le Pin
2015,Bordeaux,red,75cl,3,1,Le Pin,2950.0,brunswick,20240729,Le Pin
2016,Bordeaux,red,75cl,3,1,Le Pin,2486.67,brunswick,20240729,Le Pin
2017,Bordeaux,red,150cl,1,1,Le Pin,4375.0,brunswick,20240729,Le Pin
2014, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),2600.0,albany_vintners,20240730,Le Pin
2011, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),1966.67,albany_vintners,20240730,Le Pin
2011, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2000.0,albany_vintners,20240730,Le Pin
2008, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),1950.0,albany_vintners,20240730,Le Pin
2006, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2166.67,albany_vintners,20240730,Le Pin
2005, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2566.67,albany_vintners,20240730,Le Pin
2000, Bordeaux,red,75cl,6.0,2,Le Pin (Pomerol),4000.0,albany_vintners,20240730,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240730,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240730,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240730,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240730,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240730,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240730,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240730,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240730,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240730,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240730,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240730,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240730,Le Pin
2010,Bordeaux,red,75cl,3,1,Le Pin,3500.0,brunswick,20240730,Le Pin
2012,Bordeaux,red,75cl,3,3,Le Pin,1983.33,brunswick,20240730,Le Pin
2012,Bordeaux,red,75cl,6,1,Le Pin,1983.33,brunswick,20240730,Le Pin
2015,Bordeaux,red,75cl,3,1,Le Pin,2950.0,brunswick,20240730,Le Pin
2016,Bordeaux,red,75cl,3,1,Le Pin,2486.67,brunswick,20240730,Le Pin
2017,Bordeaux,red,150cl,1,1,Le Pin,4375.0,brunswick,20240730,Le Pin
2014, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),2600.0,albany_vintners,20240731,Le Pin
2011, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),1966.67,albany_vintners,20240731,Le Pin
2011, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2000.0,albany_vintners,20240731,Le Pin
2008, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),1950.0,albany_vintners,20240731,Le Pin
2006, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2166.67,albany_vintners,20240731,Le Pin
2005, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2566.67,albany_vintners,20240731,Le Pin
2000, Bordeaux,red,75cl,6.0,2,Le Pin (Pomerol),4000.0,albany_vintners,20240731,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240731,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240731,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240731,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240731,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240731,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240731,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240731,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240731,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240731,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240731,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240731,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240731,Le Pin
2010,Bordeaux,red,75cl,3,1,Le Pin,3500.0,brunswick,20240731,Le Pin
2012,Bordeaux,red,75cl,3,3,Le Pin,1983.33,brunswick,20240731,Le Pin
2012,Bordeaux,red,75cl,6,1,Le Pin,1983.33,brunswick,20240731,Le Pin
2015,Bordeaux,red,75cl,3,1,Le Pin,2950.0,brunswick,20240731,Le Pin
2016,Bordeaux,red,75cl,3,1,Le Pin,2486.67,brunswick,20240731,Le Pin
2017,Bordeaux,red,150cl,1,1,Le Pin,4375.0,brunswick,20240731,Le Pin
1994,Bordeaux,red,600cl,1,1,Le Pin,19750.0,hedonism_wines,20240731,Le Pin
2000,Bordeaux,red,75cl,1,8,Le Pin,3566.67,hedonism_wines,20240731,Le Pin
2005,Bordeaux,red,75cl,1,5,Le Pin,2733.33,hedonism_wines,20240731,Le Pin
2021,Bordeaux,red,75cl,1,4,Le Pin,2333.33,hedonism_wines,20240731,Le Pin
2014, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),2600.0,albany_vintners,20240801,Le Pin
2011, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),1966.67,albany_vintners,20240801,Le Pin
2011, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2000.0,albany_vintners,20240801,Le Pin
2008, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),1950.0,albany_vintners,20240801,Le Pin
2006, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2166.67,albany_vintners,20240801,Le Pin
2005, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2566.67,albany_vintners,20240801,Le Pin
2000, Bordeaux,red,75cl,6.0,2,Le Pin (Pomerol),4000.0,albany_vintners,20240801,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240801,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240801,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240801,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240801,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240801,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240801,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240801,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240801,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240801,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240801,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240801,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240801,Le Pin
2010,Bordeaux,red,75cl,3,1,Le Pin,3500.0,brunswick,20240801,Le Pin
2012,Bordeaux,red,75cl,3,3,Le Pin,1983.33,brunswick,20240801,Le Pin
2012,Bordeaux,red,75cl,6,1,Le Pin,1983.33,brunswick,20240801,Le Pin
2015,Bordeaux,red,75cl,3,1,Le Pin,2950.0,brunswick,20240801,Le Pin
2016,Bordeaux,red,75cl,3,1,Le Pin,2486.67,brunswick,20240801,Le Pin
2017,Bordeaux,red,150cl,1,1,Le Pin,4375.0,brunswick,20240801,Le Pin
1994,Bordeaux,red,600cl,1,1,Le Pin,19750.0,hedonism_wines,20240801,Le Pin
2000,Bordeaux,red,75cl,1,8,Le Pin,3566.67,hedonism_wines,20240801,Le Pin
2005,Bordeaux,red,75cl,1,5,Le Pin,2733.33,hedonism_wines,20240801,Le Pin
2021,Bordeaux,red,75cl,1,4,Le Pin,2333.33,hedonism_wines,20240801,Le Pin
2014, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),2600.0,albany_vintners,20240802,Le Pin
2011, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),1966.67,albany_vintners,20240802,Le Pin
2011, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2000.0,albany_vintners,20240802,Le Pin
2008, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),1950.0,albany_vintners,20240802,Le Pin
2006, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2166.67,albany_vintners,20240802,Le Pin
2005, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2566.67,albany_vintners,20240802,Le Pin
2000, Bordeaux,red,75cl,6.0,2,Le Pin (Pomerol),4000.0,albany_vintners,20240802,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240802,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240802,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240802,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240802,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240802,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240802,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240802,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240802,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240802,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240802,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240802,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240802,Le Pin
2010,Bordeaux,red,75cl,3,1,Le Pin,3500.0,brunswick,20240802,Le Pin
2012,Bordeaux,red,75cl,3,3,Le Pin,1983.33,brunswick,20240802,Le Pin
2012,Bordeaux,red,75cl,6,1,Le Pin,1983.33,brunswick,20240802,Le Pin
2015,Bordeaux,red,75cl,3,1,Le Pin,2950.0,brunswick,20240802,Le Pin
2016,Bordeaux,red,75cl,3,1,Le Pin,2486.67,brunswick,20240802,Le Pin
2017,Bordeaux,red,150cl,1,1,Le Pin,4375.0,brunswick,20240802,Le Pin
2014,Bordeaux,red,75cl,1,1,Le Pin,1983.0,cru_wine,20240802,Le Pin
2014,Bordeaux,red,75cl,1,1,Le Pin,1983.0,cru_wine,20240802,Le Pin
2016,Bordeaux,red,75cl,1,1,Le Pin,2617.0,cru_wine,20240802,Le Pin
2018,Bordeaux,red,75cl,6,2,Le Pin,3833.33,cru_wine,20240802,Le Pin
2019,Bordeaux,red,75cl,1,6,Le Pin,3335.0,cru_wine,20240802,Le Pin
1994,Bordeaux,red,600cl,1,1,Le Pin,19750.0,hedonism_wines,20240802,Le Pin
2000,Bordeaux,red,75cl,1,8,Le Pin,3566.67,hedonism_wines,20240802,Le Pin
2005,Bordeaux,red,75cl,1,5,Le Pin,2733.33,hedonism_wines,20240802,Le Pin
2021,Bordeaux,red,75cl,1,4,Le Pin,2333.33,hedonism_wines,20240802,Le Pin
2014, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),2600.0,albany_vintners,20240803,Le Pin
2011, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),1966.67,albany_vintners,20240803,Le Pin
2011, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2000.0,albany_vintners,20240803,Le Pin
2008, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),1950.0,albany_vintners,20240803,Le Pin
2006, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2166.67,albany_vintners,20240803,Le Pin
2005, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2566.67,albany_vintners,20240803,Le Pin
2000, Bordeaux,red,75cl,6.0,2,Le Pin (Pomerol),4000.0,albany_vintners,20240803,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240803,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240803,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240803,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240803,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240803,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240803,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240803,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240803,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240803,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240803,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240803,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240803,Le Pin
2010,Bordeaux,red,75cl,3,1,Le Pin,3500.0,brunswick,20240803,Le Pin
2012,Bordeaux,red,75cl,6,1,Le Pin,1983.33,brunswick,20240803,Le Pin
2012,Bordeaux,red,75cl,3,3,Le Pin,1983.33,brunswick,20240803,Le Pin
2015,Bordeaux,red,75cl,3,1,Le Pin,2950.0,brunswick,20240803,Le Pin
2016,Bordeaux,red,75cl,3,1,Le Pin,2486.67,brunswick,20240803,Le Pin
2017,Bordeaux,red,150cl,1,1,Le Pin,4375.0,brunswick,20240803,Le Pin
2014,Bordeaux,red,75cl,1,1,Le Pin,1983.0,cru_wine,20240803,Le Pin
2014,Bordeaux,red,75cl,1,1,Le Pin,1983.0,cru_wine,20240803,Le Pin
2016,Bordeaux,red,75cl,1,1,Le Pin,2617.0,cru_wine,20240803,Le Pin
2018,Bordeaux,red,75cl,6,2,Le Pin,3833.33,cru_wine,20240803,Le Pin
2019,Bordeaux,red,75cl,1,6,Le Pin,3335.0,cru_wine,20240803,Le Pin
1994,Bordeaux,red,600cl,1,1,Le Pin,19750.0,hedonism_wines,20240803,Le Pin
2000,Bordeaux,red,75cl,1,8,Le Pin,3566.67,hedonism_wines,20240803,Le Pin
2005,Bordeaux,red,75cl,1,5,Le Pin,2733.33,hedonism_wines,20240803,Le Pin
2021,Bordeaux,red,75cl,1,4,Le Pin,2333.33,hedonism_wines,20240803,Le Pin
2014, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),2600.0,albany_vintners,20240804,Le Pin
2011, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),1966.67,albany_vintners,20240804,Le Pin
2011, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2000.0,albany_vintners,20240804,Le Pin
2008, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),1950.0,albany_vintners,20240804,Le Pin
2006, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2166.67,albany_vintners,20240804,Le Pin
2005, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2566.67,albany_vintners,20240804,Le Pin
2000, Bordeaux,red,75cl,6.0,2,Le Pin (Pomerol),4000.0,albany_vintners,20240804,Le Pin
2005,Bordeaux,red,75cl,12,0,Le Pin,2666.67,bordeaux_farr_vintners,20240804,Le Pin
2005,Bordeaux,red,75cl,1,6,Le Pin,2666.67,bordeaux_farr_vintners,20240804,Le Pin
2005,Bordeaux,red,75cl,1,0,Le Pin,2400.0,bordeaux_farr_vintners,20240804,Le Pin
2005,Bordeaux,red,75cl,1,1,Le Pin,2400.0,bordeaux_farr_vintners,20240804,Le Pin
1999,Bordeaux,red,75cl,12,1,Le Pin,2291.67,bordeaux_farr_vintners,20240804,Le Pin
1999,Bordeaux,red,75cl,1,0,Le Pin,2291.67,bordeaux_farr_vintners,20240804,Le Pin
2019,Bordeaux,red,150cl,1,0,Le Pin,5250.0,bordeaux_farr_vintners,20240804,Le Pin
2019,Bordeaux,red,150cl,1,1,Le Pin,5250.0,bordeaux_farr_vintners,20240804,Le Pin
1983,Bordeaux,red,150cl,1,0,Le Pin,5400.0,bordeaux_farr_vintners,20240804,Le Pin
1983,Bordeaux,red,150cl,1,1,Le Pin,5400.0,bordeaux_farr_vintners,20240804,Le Pin
1985,Bordeaux,red,75cl,12,1,Le Pin,2916.67,bordeaux_farr_vintners,20240804,Le Pin
1985,Bordeaux,red,75cl,1,0,Le Pin,2916.67,bordeaux_farr_vintners,20240804,Le Pin
2010,Bordeaux,red,75cl,3,1,Le Pin,3500.0,brunswick,20240804,Le Pin
2012,Bordeaux,red,75cl,6,1,Le Pin,1983.33,brunswick,20240804,Le Pin
2012,Bordeaux,red,75cl,3,3,Le Pin,1983.33,brunswick,20240804,Le Pin
2015,Bordeaux,red,75cl,3,1,Le Pin,2950.0,brunswick,20240804,Le Pin
2016,Bordeaux,red,75cl,3,1,Le Pin,2486.67,brunswick,20240804,Le Pin
2017,Bordeaux,red,150cl,1,1,Le Pin,4375.0,brunswick,20240804,Le Pin
2014,Bordeaux,red,75cl,1,1,Le Pin,1983.0,cru_wine,20240804,Le Pin
2014,Bordeaux,red,75cl,1,1,Le Pin,1983.0,cru_wine,20240804,Le Pin
2016,Bordeaux,red,75cl,1,1,Le Pin,2617.0,cru_wine,20240804,Le Pin
2018,Bordeaux,red,75cl,6,2,Le Pin,3833.33,cru_wine,20240804,Le Pin
2019,Bordeaux,red,75cl,1,6,Le Pin,3335.0,cru_wine,20240804,Le Pin
1994,Bordeaux,red,600cl,1,1,Le Pin,19750.0,hedonism_wines,20240804,Le Pin
2000,Bordeaux,red,75cl,1,8,Le Pin,3566.67,hedonism_wines,20240804,Le Pin
2005,Bordeaux,red,75cl,1,5,Le Pin,2733.33,hedonism_wines,20240804,Le Pin
2021,Bordeaux,red,75cl,1,4,Le Pin,2333.33,hedonism_wines,20240804,Le Pin
2014, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),2600.0,albany_vintners,20240805,Le Pin
2011, Bordeaux,red,75cl,3.0,1,Le Pin (Pomerol),1966.67,albany_vintners,20240805,Le Pin
2011, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2000.0,albany_vintners,20240805,Le Pin
2008, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),1950.0,albany_vintners,20240805,Le Pin
2006, Bordeaux,red,75cl,6.0,1,Le Pin (Pomerol),2166.67,albany_vintners,20240805,Le Pin
